id,name,description,ruling,reason,variations
isoascorbate,Isoascorbate,"An isomer of ascorbate (vitamin C), used as an antioxidant and food preservative.",halal,"Isoascorbate is chemically synthesized or derived from plant-based sources, and it does not contain any haram substances.",['isoascorbate']
job-s-tears-flour,Job's Tears Flour,"Flour made from Job's Tears, a type of grain.",halal,Job's Tears is a grain and plant-based products are halal unless contaminated with haram substances.,"['job s tears flour', ""job's tears flour"", 'coix lacryma-jobi flour']"
khorasan-wheat,Khorasan Wheat,"An ancient grain also known as Kamut, a variety of wheat.",halal,"Khorasan wheat is a type of wheat, and plant-based products are halal unless contaminated with haram substances.","['khorasan wheat', 'kamut', 'oriental wheat', 'triticum turgidum turanicum']"
kettle-corn-glaze,Kettle Corn Glaze,A sweet and salty coating applied to kettle corn.,uncertain,"The halal status depends on the ingredients used in the glaze, such as the type of sugar, oils, and any added flavors. Without a specific ingredient list, it is uncertain.",['kettle corn glaze']
keratin,Keratin,"A fibrous structural protein found in hair, nails, and skin.",uncertain,"Keratin is typically derived from animal sources. If the animal is not halal slaughtered, or if it comes from a haram animal (like a pig), it would be considered haram. Otherwise, it is halal.",['keratin']
kudzu-flour,Kudzu Flour,"A starch powder made from the root of the kudzu plant, used as a thickening agent in cooking.",halal,Kudzu flour is derived from a plant source and does not contain any haram ingredients.,"['kudzu flour', 'kuzu flour', 'kudzu starch']"
l-carnitine,L-Carnitine,A naturally occurring amino acid derivative that transports fatty acids into the mitochondria for energy production. It is often used in supplements and food additives.,uncertain,"L-Carnitine is generally considered halal if it is synthetically produced or derived from plant sources. However, if it is derived from animal sources, it is necessary to ensure that the animal was halal-slaughtered.","['l-carnitine', 'carnitine', 'l carnitine']"
kuttu-flour,Kuttu Flour,"Flour made from buckwheat, often used in gluten-free baking and traditional dishes.",halal,"Buckwheat is a plant and kuttu flour is made from buckwheat. Therefore, it is halal.","['kuttu flour', 'buckwheat flour']"
kosher-salt,Kosher Salt,"A coarse-grained salt with no additives, commonly used in cooking. The term 'kosher' refers to the salt's suitability for use in the koshering process of meat in Jewish law.",halal,"Salt, in its pure form, is halal. The term 'kosher' refers to Jewish dietary laws and does not inherently make the salt haram for Muslims. As long as no haram additives are present, it is permissible.","['kosher salt', 'kosher-salt']"
l-arginine,L-Arginine,An amino acid that plays a role in various physiological functions. It is often used in supplements and nutritional products.,uncertain,"L-Arginine is generally considered halal if it is synthetically produced or derived from plant sources. However, if it is derived from animal sources, it is necessary to ensure that the animal was halal-slaughtered.","['l-arginine', 'arginine', 'l arginine']"
l-glutamine,L-Glutamine,An amino acid that is a building block of protein.,halal,L-Glutamine is an amino acid and is considered halal if produced from halal sources via fermentation or synthesis without the use of haram substances.,"['l-glutamine', 'glutamine']"
l-threonine,L-Threonine,An essential amino acid necessary for human health.,halal,L-Threonine is an essential amino acid and is considered halal if produced from halal sources via fermentation or synthesis without the use of haram substances.,"['l-threonine', 'threonine']"
l-methionine,L-Methionine,An essential amino acid that plays a role in many cell functions.,halal,L-Methionine is an essential amino acid and is considered halal if produced from halal sources via fermentation or synthesis without the use of haram substances.,"['l-methionine', 'methionine']"
l-lysine,L-Lysine,An essential amino acid involved in various bodily functions.,halal,L-Lysine is an essential amino acid and is considered halal if produced from halal sources via fermentation or synthesis without the use of haram substances.,"['l-lysine', 'lysine']"
l-tryptophan,L-Tryptophan,An essential amino acid used in the formation of proteins.,halal,L-Tryptophan is an essential amino acid and is considered halal if produced from halal sources via fermentation or synthesis without the use of haram substances.,"['l-tryptophan', 'tryptophan']"
lactylated-mono-and-diglycerides,Lactylated Mono- and Diglycerides,"Emulsifiers and stabilizers made from glycerin, fatty acids, and lactic acid.",uncertain,"The halal status depends on the source of the fatty acids. If the fatty acids are from a halal source (vegetable or halal animal), it is halal. If from a non-halal animal source, it is haram. Without knowing the source, it is uncertain.","['lactylated mono and diglycerides', 'lactylated mono- and diglycerides', 'lactic acid esters of mono- and diglycerides']"
lactobacillus-sakei,Lactobacillus sakei,"A type of bacteria used in fermentation processes, often found in meat and vegetable products.",halal,Lactobacillus sakei is a bacteria used in fermentation and is considered halal as long as the fermentation process and the medium used do not contain any haram ingredients.,"['lactobacillus sakei', 'l. sakei']"
lard,Lard,Fat rendered from pork.,haram,"Lard is derived from pork, which is explicitly forbidden in Islam.","['lard', 'pork fat', 'pig fat']"
lanolin,Lanolin,A wax obtained from sheep's wool.,halal,Lanolin is extracted from sheep's wool and is considered halal as it does not involve the slaughtering of the animal and is not inherently haram.,"['lanolin', 'wool wax', 'wool fat', 'adeps lanae']"
lemon-oil,Lemon Oil,"A natural oil extracted from lemon peels, used for flavoring and fragrance.",halal,Lemon oil is extracted from lemon peels and does not contain any haram ingredients.,['lemon oil']
lentil-flour,Lentil Flour,"Flour made from ground lentils, used in baking and cooking.",halal,"Lentil flour is made from lentils, which are inherently halal.",['lentil flour']
lecithin,Lecithin,"A generic term to designate any group of yellow-brownish fatty substances occurring in animal and plant tissues which are amphiphilic – they attract both water and fatty substances (and so are both hydrophilic and lipophilic), and are used for smoothing food textures, emulsifying, homogenizing liquid mixtures, and repelling sticking materials.",uncertain,"Lecithin can be derived from both plant and animal sources. If it is plant-based (e.g., soy lecithin, sunflower lecithin), it is halal. If it is animal-based, the animal must be halal and slaughtered according to Islamic guidelines.","['lecithin', 'lecithin as improver', 'lecithin frying aid', 'lecithin as defoamer', 'E322']"
leaven,Leaven,A substance used to produce fermentation in dough or liquid.,halal,"Leaven is a substance used in fermentation, typically halal unless alcohol or non-halal ingredients are added.",['leaven']
leavening-agent,Leavening Agent,"A substance used to make baked goods rise, such as baking soda or yeast.",halal,"Most common leavening agents like baking soda, baking powder, and yeast are halal. However, it's important to ensure that any additional ingredients used in the leavening agent are also halal.",['leavening agent']
lemon-essence,Lemon Essence,A concentrated flavoring extracted from lemons.,halal,"Lemon essence is typically halal as it is derived from lemons. However, it is important to verify that the solvent used for extraction is halal (e.g., not derived from alcohol).",['lemon essence']
